time,open,high,low,close,volume,index_code
2025-09-25,1856.33,1862.38,1842.7,1858.67,332937421,VN30
2025-09-26,1858.87,1865.67,1848.47,1852.65,343915894,VN30
2025-09-29,1850.48,1870.38,1843.53,1862.23,364360758,VN30
2025-09-30,1864.14,1880.9,1846.45,1863.13,417169268,VN30
2025-10-01,1866.18,1878.45,1858.5,1870.63,279386413,VN30
2025-10-02,1872.83,1891.2,1855.64,1859.8,345308760,VN30
2025-10-03,1859.6,1869.93,1848.03,1859.51,344772482,VN30
2025-10-06,1898.22,1918.97,1883.64,1918.97,561650844,VN30
2025-10-07,1929.77,1929.77,1901.02,1909.65,394701577,VN30
2025-10-08,1923.5,1933.78,1906.09,1922.95,483966427,VN30
2025-10-09,1927.31,1946.78,1920.87,1940.89,605073580,VN30
2025-10-10,1947.23,1980.57,1942.62,1980.57,492781604,VN30
2025-10-13,1968.9,2013.81,1968.9,2012.28,645803799,VN30
2025-10-14,2036.9,2055.85,2003.32,2013.69,706079034,VN30
2025-10-15,2018.01,2030.71,1999.19,2009.64,574346345,VN30
2025-10-16,2015.35,2025.76,2004.24,2022.27,491572978,VN30
2025-10-17,2029.75,2029.75,1970.27,1977.14,538009291,VN30
2025-10-20,1968.92,1972.81,1870.86,1870.86,819199287,VN30
2025-10-21,1882.66,1933.22,1862.51,1915.9,701226387,VN30
2025-10-22,1933.81,1933.81,1870.27,1930.88,444436303,VN30
2025-10-23,1935.98,1962.13,1918.7,1945.78,347808912,VN30
2025-10-24,1943.02,1954.65,1913.93,1944.6,450856889,VN30
2025-10-27,1962.09,1962.09,1900.76,1900.76,450023006,VN30
2025-10-28,1896.4,1949.28,1871.72,1949.28,416606021,VN30
2025-10-29,1951.51,1966.03,1940.0,1949.76,422743987,VN30
2025-10-30,1952.33,1954.85,1915.58,1925.18,303974239,VN30
2025-10-31,1923.62,1923.62,1881.17,1885.36,323496028,VN30
2025-11-03,1888.96,1903.21,1857.64,1857.64,410147960,VN30
2025-11-04,1860.56,1908.55,1843.43,1897.71,484341304,VN30
2025-11-05,1888.34,1896.94,1876.88,1886.47,265365316,VN30
2025-11-06,1886.48,1890.96,1866.91,1869.6,252461137,VN30
2025-11-07,1862.19,1864.91,1817.93,1824.71,408524816,VN30
2025-11-10,1826.61,1844.44,1804.18,1804.18,326914759,VN30
2025-11-11,1811.58,1832.01,1805.74,1821.6,304868081,VN30
2025-11-12,1828.51,1872.31,1823.98,1872.27,348404038,VN30
2025-11-13,1872.37,1875.17,1856.88,1864.23,275226759,VN30
2025-11-14,1858.62,1875.71,1853.6,1871.54,270514178,VN30
2025-11-17,1878.95,1894.54,1878.88,1893.54,288678061,VN30
2025-11-18,1895.84,1899.15,1881.12,1898.07,286528068,VN30
2025-11-19,1896.57,1899.45,1880.18,1886.2,326455842,VN30
2025-11-20,1890.98,1904.44,1887.12,1897.46,282915635,VN30
2025-11-21,1886.92,1902.41,1873.35,1899.89,293273104,VN30
2025-11-24,1901.96,1925.79,1901.18,1916.36,248685252,VN30
2025-11-25,1917.66,1927.15,1905.52,1909.6,406693248,VN30
2025-11-26,1916.65,1927.38,1909.93,1923.55,348831057,VN30
2025-11-27,1928.39,1935.02,1917.1,1921.18,254832512,VN30
2025-11-28,1920.09,1931.28,1911.85,1923.92,278481717,VN30
2025-12-01,1931.61,1945.5,1930.3,1933.56,276331120,VN30
2025-12-02,1934.08,1953.08,1920.23,1950.12,305990969,VN30
2025-12-03,1958.96,1983.06,1951.02,1971.99,425214917,VN30
